Id  	Punctaj
137		100
144		100
155		98
178		98
102		97
110		97
167		94
147		92
154		92
153		91
135		90
166		90
116		88
179		88
181		88
143		87
182		86
158		85
194		84
133		82
163		82
122		81
138		80
106		78
192		77
115		74
177		74
174		73
107		70
136		70
159		69
121		68
149		67
131		65
127		64
171		64
184		64
185		64
103		62
141		62
146		61
120		60
150		59
119		55
156		55
160		55
165		55
161		54
180		52
114		47
126		47
188		47
164		46
193		45
168		41
169		41
145		39
176		37
124		33
104		31
112		31
113		31
172		31
101		29
130		28
173		28
109		27
123		26
151		26
183		26
105		25
191		25
187		23
139		22
142		22
157		22
140		21
186		19
190		17
117		16
148		16
129		15
189		11
128		9
132		9
170		7
108		5
134		3
152		2
162		2
175		2
111		1
118		1
