Id  	Pct
122		780
167		744
155		733
401		728
465		727
477		710
541		706
102		696
436		695
171		691
260		690
573		690
149		689
210		689
205		688
218		682
524		678
544		678
179		675
427		675
178		665
479		658
346		655
415		651
552		651
349		650
110		648
236		648
276		641
578		637
523		632
137		630
536		628
328		626
146		625
251		624
569		624
469		622
239		621
244		621
475		619
329		616
357		615
339		613
207		612
546		609
343		607
373		607
575		607
256		604
150		603
238		603
250		603
512		603
109		601
306		600
508		600
323		595
242		594
567		591
413		589
433		589
418		587
204		586
379		586
485		586
162		584
268		583
234		580
454		580
551		577
566		577
166		576
159		571
310		571
263		570
562		570
586		568
269		567
314		566
483		566
579		566
462		564
233		561
255		561
307		561
107		560
201		560
147		559
529		559
262		557
571		554
458		553
158		551
325		551
484		551
232		550
353		550
580		550
203		549
581		549
133		548
439		548
550		548
473		547
378		546
117		545
145		545
525		545
267		543
360		543
184		542
516		542
517		542
120		541
327		541
444		541
533		541
480		540
221		539
486		539
487		538
520		538
345		536
574		536
412		535
247		534
537		533
272		532
312		532
375		530
568		530
202		529
354		528
355		527
374		527
342		526
264		525
229		524
303		523
368		522
101		521
409		521
429		521
105		520
173		520
457		520
572		520
340		519
252		518
564		517
143		516
220		516
235		516
253		516
456		515
501		515
331		514
216		513
259		512
311		512
407		512
154		511
172		511
337		510
138		509
140		509
563		509
545		508
151		507
426		507
115		506
165		506
227		506
532		505
540		505
139		504
258		504
319		504
411		504
135		503
217		503
434		503
206		502
103		501
535		501
549		501
156		500
344		499
315		498
435		498
111		497
118		496
114		494
576		494
332		492
402		491
163		489
440		488
225		487
301		487
228		486
503		486
280		485
126		484
518		484
556		484
174		482
182		482
185		482
213		482
380		482
530		481
246		480
570		480
559		479
539		478
478		477
521		477
153		475
180		475
506		475
112		472
438		472
219		471
271		471
363		471
385		468
414		468
470		467
104		465
124		464
241		464
335		461
365		459
431		459
464		459
531		459
510		458
324		457
377		456
555		456
416		455
509		455
351		454
461		454
526		453
305		451
459		451
519		451
106		450
316		450
584		450
261		448
547		448
128		447
450		447
489		447
176		446
341		446
364		446
309		444
561		444
177		443
308		442
350		442
359		442
148		440
560		440
211		439
491		438
515		438
141		437
144		437
338		437
169		435
209		435
248		434
548		434
424		433
226		432
410		432
361		431
507		431
543		431
265		430
448		429
254		426
366		426
369		426
404		424
183		423
362		423
348		422
542		422
157		421
406		421
408		421
285		420
127		419
443		418
223		417
425		417
476		417
527		417
505		416
370		413
557		413
320		412
490		412
381		410
108		409
437		409
445		409
302		407
511		407
471		405
589		404
113		403
121		399
215		399
423		399
420		398
237		396
161		395
467		395
466		394
405		393
160		392
317		392
347		392
334		390
187		389
451		389
577		389
123		388
352		388
222		387
417		386
129		385
249		385
558		385
136		384
502		383
304		382
371		380
474		377
553		377
181		376
240		376
583		376
119		375
286		375
224		374
287		372
245		369
214		368
382		367
452		367
282		366
387		366
230		360
134		355
460		354
275		352
168		350
488		350
493		350
270		349
468		348
494		348
513		346
376		345
496		336
288		334
442		325
447		325
585		324
130		319
588		318
590		318
472		317
591		316
384		313
132		311
391		311
356		309
522		309
281		300
386		298
257		296
593		290
273		289
430		289
403		285
326		277
284		276
495		276
186		272
455		270
481		263
289		252
390		246
394		244
396		241
388		228
283		225
190		224
188		216
592		216
492		208
497		202
392		201
595		180
189		179
291		179
594		173
499		171
397		165
292		154
290		149
293		134
295		108
398		106
498		103
294		93
395		93
298		85
194		84
393		81
192		77
598		71
500		62
596		57
191		56
399		53
597		53
193		45
297		17
299		14
296		12
